nonce,value
1588089491,50000000.0
1588371875,10.0
1588616710,2.0
1588616720,8.0
1588624919,1000.0
1588632731,10.0
1588678138,2.0
1588679384,38780.23
1588680579,14433.4
1588681927,5000.0
1588685112,12171.92
1588702405,9738.33
1588715076,1.0
1588718243,121517.02
1588804119,43817.94
1588804583,23.68
1588875966,196.62
1588888688,5000.0
1588955828,8.0
1589231678,135812.47
1589266978,100.0
1589272451,100.0
1589272936,12.0
1589272940,0.0
1589273013,0.11
1589273068,100.0
1589273469,12.0
1589273500,50.0
1589274266,50.0
1589274556,3.0
1589274577,10.0
1589277808,133.87
1589278273,133.87
1589295500,90787.79
1589299584,322.5
1589299877,297.86
1589300086,275.81
1589312972,256.59
1589312981,238.87
1589316334,62.4
1589316389,200000.0
1589316464,62.4
1589317296,5.0
1589333344,100.0
1589333571,100.0
1589334285,100.0
1589342220,100.0
1589344854,299.0
1589345452,299.0
1589345987,200.0
1589353495,100000.0
1589364511,123.62
1589365143,50000.0
1589365514,100.0
1589367025,1.0
1589369782,259.61
1589371844,1.0
1589372142,88.08
1589372153,122.6
1589372677,89.08
1589373076,122.6
1589375088,100.0
1589375167,100.0
1589375875,100.0
1589379342,155.24
1589380180,100.0
1589380518,100.0
1589380683,100.0
1589380717,11.43
1589407868,13.75
1589407966,259.15
1589409074,17.01
1589409517,17.01
1589410527,236.41
1589411487,10.0
1589412047,4.0
1589413240,50.0
1589413588,220.81
1589414309,95.24
1589414337,20.98
1589414512,199.82
1589415130,20.57
1589420742,19.03
1589425396,19.45
1589426939,20.57
1589427650,7024.38
1589427807,10.57
1589429208,4000.0
1589429399,3024.38
1589434086,10.0
1589434166,748.1
1589436732,7e+20
1589437529,46.83
1589437866,101.0
1589437872,46.83
1589439736,10.0
1589442940,101.0
1589443530,92.35
1589446599,98.5
1589446930,755.0
1589452530,248.41
1589452543,75.44
1589452951,248.41
1589458523,46.84
1589462216,46.84
1589463044,509.32
1589464900,582.0
1589467860,111.03
1589469686,4000.0
1589470024,4000.0
1589476951,48.96
1589476978,24.12
1589477550,23.89
1589483443,11.0
1589483668,2.0
1589484101,2.0
1589484158,2.0
1589484504,929.95
1589485233,164.0
1589485375,164.0
1589485736,164.0
1589495278,76.14
1589500636,10.0
1589505668,10.0
1589509680,124.15
1589510022,48.96
1589528258,100.0
1589536757,126.15
1589539724,149.59
1589539902,146.27
1589547276,21.97
1589547971,2370.74
1589548522,454.66
1589548627,190.0
1589548691,190.0
1589549590,190.0
1589555423,205.44
1589555912,205.44
1589557529,238.5
1589567495,11.43
1589572538,252.47
1589579615,3623.9
1589595508,3026.81
1589615111,14.73
1589624784,97.4
1589638066,95.24
1589638113,95.24
1589643482,117.88
1589643826,115.56
1589644629,50.0
1589656771,49.0
1589657322,49.0
1589659187,700.05
1589659737,700.04
1589659894,50.0
1589666162,346.34
